Y,Z
849.000000,265.717779
792.000000,-205.745569
1147.000000,432.197626
811.000000,-173.522615
804.000000,42.453578
1941.000000,996.063752
692.000000,-849.654825
673.000000,-108.096028
929.000000,514.617844
806.000000,69.699398
882.000000,513.086619
784.000000,61.289311
1113.000000,696.327954
578.000000,-581.963096
776.000000,-46.327232
1204.000000,784.490339
878.000000,181.316882
571.000000,-600.909836
1075.000000,452.069179
472.000000,-601.303424
776.000000,70.521455
1007.000000,386.983862
837.000000,-182.874015
526.000000,-725.389682
666.000000,-50.207035
735.000000,-277.309792
691.000000,-514.823577
793.000000,71.426948
667.000000,-456.259354
398.000000,-1568.358566
638.000000,-437.858457
645.000000,-343.627254
621.000000,-702.593315
721.000000,-139.240974
612.000000,-428.738260
600.000000,-654.319923
831.000000,167.008611
631.000000,-83.515306
715.000000,-71.856575
1047.000000,437.010492
1082.000000,504.522396
1094.000000,575.104059
1097.000000,734.045372
818.000000,119.291193
772.000000,205.726969
742.000000,-252.182286
404.000000,-1546.410885
475.000000,-1092.297056
1106.000000,501.273753
986.000000,162.478326
846.000000,449.360011
496.000000,-1123.666837
602.000000,-1176.203490
1137.000000,201.298501
609.000000,-1262.333818
803.000000,117.733337
592.000000,-429.704321
466.000000,-1641.342067
840.000000,164.077429
720.000000,-58.369420
935.000000,72.547144
838.000000,351.599464
628.000000,-757.269485
511.000000,-1023.425503
1343.000000,706.131630
829.000000,57.103118
833.000000,554.703162
684.000000,-453.164847
1091.000000,513.504956
1102.000000,245.684781
793.000000,188.615022
576.000000,-656.408063
542.000000,-739.219048
1291.000000,633.865547
625.000000,-897.022724
884.000000,323.077429
819.000000,195.341630
473.000000,-1017.023665
1106.000000,815.781170
802.000000,-52.573993
949.000000,279.930602
997.000000,448.557276
497.000000,-921.357625
588.000000,-333.011652
1027.000000,614.327013
647.000000,-329.677691
982.000000,-29.991389
555.000000,-419.541936
1494.000000,995.952746
890.000000,47.255372
763.000000,-83.710689
908.000000,478.564584
870.000000,481.762790
707.000000,-351.730951
932.000000,382.000361
1489.000000,676.096750
930.000000,318.104059
851.000000,128.006729
345.000000,-1468.393446
791.000000,217.049858
622.000000,-362.259354
631.000000,-741.697013
907.000000,-346.242855
657.000000,12.325131
482.000000,-1671.437516
799.000000,256.898545
737.000000,-72.779508
502.000000,-1577.428325
1325.000000,276.145306
769.000000,10.812287
682.000000,195.162746
1826.000000,976.790361
938.000000,440.325131
1812.000000,218.880164
924.000000,433.975613
920.000000,-76.070339
1307.000000,909.738982
1166.000000,741.045372
920.000000,188.570952
606.000000,-446.063030
1006.000000,304.223315
1126.000000,681.421521
898.000000,488.719661
832.000000,1.922352
865.000000,319.369201
618.000000,-650.774081
1176.000000,682.960054
1523.000000,965.285766
781.000000,-13.608873
671.000000,-895.492439
671.000000,-540.782330
952.000000,345.735219
1086.000000,454.582965
537.000000,-753.860339
1035.000000,501.916925
1613.000000,897.695853
1556.000000,1012.465590
790.000000,174.179245
1086.000000,238.896663
763.000000,-4.931761
991.000000,443.881105
696.000000,-278.763009
858.000000,372.026991
844.000000,175.888414
765.000000,-176.275853
455.000000,-1528.932920
419.000000,-1469.531082
804.000000,245.162746
742.000000,-342.096028
506.000000,-804.553008
935.000000,395.180186
679.000000,-430.977713
818.000000,-47.898764
884.000000,393.016860
1077.000000,641.737100
896.000000,472.301324
1309.000000,655.856357
457.000000,-1095.912658
760.000000,-193.882265
553.000000,-224.250164
846.000000,-263.189595
905.000000,386.471017
766.000000,-172.335481
1080.000000,248.393950
1813.000000,914.806860
1152.000000,733.643534
820.000000,14.776466
850.000000,-150.856575
702.000000,1.066357
856.000000,53.820536
758.000000,91.606772
383.000000,-1328.846662
538.000000,-1440.555831
942.000000,264.316882
1228.000000,155.469136
1019.000000,655.394890
772.000000,-184.643753
795.000000,69.914103
824.000000,309.855416
586.000000,-820.227297
838.000000,33.905853
890.000000,181.649902
1148.000000,427.335262
891.000000,108.264562
1773.000000,784.490339
616.000000,-602.721761
738.000000,-556.030032
722.000000,84.904913
777.000000,0.297560
660.000000,71.460886
736.000000,-49.752877
923.000000,247.067298
545.000000,-505.996094
641.000000,-37.976772
1222.000000,643.112308
637.000000,-367.670383
879.000000,-150.326291
973.000000,509.403140
593.000000,-718.048413
1038.000000,439.881105
436.000000,-1358.111804
1161.000000,761.857297
